entidad_y_municipio,superficie_total_a,regimen_de_tenencia_de_la_tierra_ejidal,regimen_de_tenencia_de_la_tierra_comunal,regimen_de_tenencia_de_la_tierra_privada,regimen_de_tenencia_de_la_tierra_de_colonia,regimen_de_tenencia_de_la_tierra_publica,unidad_de_medida
Santa Ana Maya,11884.8813,3510.2067,0,8352.4246,0,22.25,hectareas
Salvador Escalante,30343.4572,12227.7001,2657.123,15446.7143,0,11.9198,hectareas
Senguio,10792.3219,4363.0724,70.2273,6358.0222,0,1,hectareas
Susupuato,19967.5985,12865.0819,27.5299,7074.9867,0,0,hectareas
Tacambaro,50100.1123,14243.0699,222.7067,35633.6691,0,0.6666,hectareas
Tancitaro,49253.6467,2489.3776,3209.1908,39941.853,0,3613.2253,hectareas
Tangamandapio,11647.8698,2357.2618,3323.4962,5967.1118,0,0,hectareas
Tangancicuaro,14012.4818,4971.2037,2516.4199,6502.0483,0,22.8099,hectareas
Tanhuato,20000.7323,13113.4344,0,6884.2379,0,3.06,hectareas
Taretan,10102.6776,8366.7741,0.98,1734.5068,0,0.4167,hectareas
Tarimbaro,17042.2292,8158.0334,0,8884.1958,0,0,hectareas
Tepalcatepec,57525.9683,36016.7382,0,21496.2301,0,13,hectareas
Tingambato,7196.2031,1029.4686,4466.6446,1700.0899,0,0,hectareas
Tingüindin,10770.2086,1798.9338,1511.2682,7458.5066,0,1.5,hectareas
Tiquicheo de Nicolas Romero,117233.4004,33737.9369,0,83495.4635,0,0,hectareas
Tlalpujahua,15205.5012,2054.2278,0.5,13150.7734,0,0,hectareas
Tlazazalca,9295.0548,4010.4605,0,5284.5943,0,0,hectareas
Tocumbo,22219.7116,4193.1971,432.4419,17589.8426,0,4.23,hectareas
Tumbiscatio,151881.4329,20516.8551,0,131364.5778,0,0,hectareas
Turicato,106123.1871,41962.1169,0,64149.3029,0,11.7673,hectareas
Tuxpan,17642.9355,3726.9506,363.5609,13552.424,0,0,hectareas
Tuzantla,85847.2801,43629.2113,0,42218.0688,0,0,hectareas
Tzintzuntzan,10575.4983,998.8254,118.0896,9457.3333,0,1.25,hectareas
Tzitzio,91842.7732,4936.2896,0,86399.507,0,506.9766,hectareas
Uruapan,46671.6257,11660.7798,13566.817,21432.9456,0,11.0833,hectareas
Venustiano Carranza,13962.4571,10820.1287,0,3006.7969,0,135.5315,hectareas
Villamar,15127.0682,10124.9604,0.6667,5001.4411,0,0,hectareas
Vista Hermosa,11645.1771,11237.0747,0,403.2274,0,4.875,hectareas
Yurecuaro,7492.0889,6004.4868,0,1487.6021,0,0,hectareas
Zacapu,21102.1758,7874.1028,1738.5045,11485.5406,0,4.0279,hectareas
Zamora,12737.7454,8628.7856,51,4048.7183,0,9.2415,hectareas
Zinaparo,7000.6374,1953.2401,291.0057,4746.3878,0,10.0038,hectareas
Zinapecuaro,25510.6924,11418.7071,476.0126,13612.0977,0,3.875,hectareas
Ziracuaretiro,5497.338,2983.5384,462.2187,2051.5809,0,0,hectareas
Zitacuaro,28235.5603,8632.8048,5718.1,13858.6549,0,26.0006,hectareas
Jose Sixto Verduzco,18175.3651,16323.4087,1.5,1843.6561,0,6.8003,hectareas
